Execucao;Tempo Medio em Fila;Numero Medio em Fila;Taxa de Ocupacao do Servidor (%)
1;26.3611;31.6256;99.7878
2;27.1475;32.6115;99.9623
3;26.4011;31.6086;99.6031
4;25.8685;31.0174;99.5476
5;26.4424;31.6046;99.3929
6;25.8917;30.9618;99.2568
7;26.6722;32.0688;99.9820
8;26.1256;31.3190;99.5493
9;25.7362;30.8084;99.4278
10;26.1664;31.3131;99.3487
11;25.7746;30.7859;99.1181
12;26.3611;31.6256;99.7878
13;27.1475;32.6115;99.9623
14;26.4011;31.6086;99.6031
15;25.8685;31.0174;99.5476
16;26.4424;31.6046;99.3929
17;25.8917;30.9618;99.2568
18;26.6722;32.0688;99.9820
19;26.1256;31.3190;99.5493
20;25.7362;30.8084;99.4278
21;26.1664;31.3131;99.3487
22;25.7746;30.7859;99.1181
23;26.3611;31.6256;99.7878
24;27.1475;32.6115;99.9623
25;26.4011;31.6086;99.6031
26;25.8685;31.0174;99.5476
27;26.4424;31.6046;99.3929
28;25.8917;30.9618;99.2568
29;26.6722;32.0688;99.9820
30;26.1256;31.3190;99.5493
